Rank,Cocktail,Category
1,Lemon,Fruits
2,Angostura,Alcohol
3,Cinnamon,Spices
4,Orange,Fruits
5,Rye whiskey,Alcohol
6,Apple,Fruits
7,Apple cider,Alcohol
8,Bourbon,Alcohol
9,Champagne,Alcohol
10,Cherry,Berries
11,Cognac,Alcohol
12,Dry vermouth,Alcohol
13,Grand Marnier,Alcohol
14,Grenadine,Beverages
15,Lime,Fruits
16,Sweet vermouth,Alcohol
17,Vodka,Alcohol
