Rank,Cocktail,Category
1,Coffee,Beverages
2,Cream,Dairy
3,Nutmeg,Spices
4,Baileys,Alcohol
5,Cinnamon,Spices
6,Fernet Branca,Alcohol
7,Grand Marnier,Alcohol
8,Mint,Herbs
9,Vanilla,Herbs
