Rank,Sweet,Category
1,Milk chocolate,Other
2,Cocoa,Other
3,Dark chocolate,Other
4,Hazelnut,Nut
5,Lime,Fruits
6,Vanilla,Herbs
7,Wood sorrel,Herbs
8,Almond,Nut
9,Banana,Fruits
10,Cardamom,Spices
11,Creme fraiche,Dairy
12,Marshmallow,Candy
13,Mascarpone,Cheeses
14,Strawberry,Berries
15,Yoghurt,Dairy
