Rank,Cocktail,Category
1,Lemon,Fruits
2,Lime,Fruits
3,Mint,Herbs
4,Agave nectar,Sugars
5,Angostura,Alcohol
6,Campari,Alcohol
7,Champagne,Alcohol
8,Grapefruit,Fruits
9,Orange,Fruits
10,Aperol,Alcohol
11,Apple,Fruits
12,Cointreau,Liqueurs
13,Cucumber,Vegetables
14,Gin,Alcohol
15,Mezcal,Alcohol
16,Orange bitter,Alcohol
17,Peychaud's Bitters,Alcohol
18,Tequila,Alcohol
19,White wine,Alcohol
