Rank,Sweet,Category
1,Almond,Nut
2,Dark chocolate,Other
3,Fig,Fruits
4,Honey,Sugars
5,Lemon,Fruits
6,Marshmallow,Candy
7,Pistachio,Nut
8,Portwine,Alcohol
9,Rhubarb,Fruits
10,Vanilla,Herbs
11,Walnut,Nut
12,White chocolate,Other
