Rank,Sweet,Category
1,Coconut,Nut
2,Condensed milk,Dairy
3,Vanilla,Herbs
4,Almond,Nut
5,Chili,Herbs
6,Creme fraiche,Dairy
7,Lemon,Fruits
8,Lime,Fruits
9,Mango,Fruits
10,Orange,Fruits
11,Passionfruit,Fruits
12,Pineapple,Fruits
13,White chocolate,Other
