Rank,Cocktail,Category
1,Lemon,Fruits
2,Orange,Fruits
3,Gin,Alcohol
4,Grapefruit,Fruits
5,Vodka,Alcohol
6,Campari,Alcohol
7,Cointreau,Liqueurs
8,Lime,Fruits
9,Mezcal,Alcohol
10,Peychaud's Bitters,Alcohol
11,Blue curaçao,Alcohol
12,Bourbon,Alcohol
13,Cherry,Berries
14,Cinnamon,Spices
15,Dry vermouth,Alcohol
16,Lillet blanc,Alcohol
17,Mint,Herbs
18,Raspberry,Berries
19,Red wine,Alcohol
20,St. Germain,Alcohol
21,Sweet vermouth,Alcohol
22,Tequila,Alcohol
