Rank,Cocktail,Category,Sweet,Category
1,Vodka,Alcohol,Coffee,Beverages
2,Coffee,Beverages,Dark chocolate,Other
3,Light rum,Alcohol,Vodka,Alcohol
4,Baileys,Alcohol,,
5,Cream,Dairy,,
6,Dark chocolate,Other,,
7,Salt caramel,Other,,
