Rank,Sweet,Category
1,Cloudberry,Berries
2,Honey,Sugars
3,White chocolate,Other
4,Almond,Nut
5,Cocoa,Other
6,Dark chocolate,Other
7,Hazelnut,Nut
8,Lemon,Fruits
9,Marzipan,Other
10,Red cabbage,Vegetables
11,Strawberry,Berries
12,Vanilla,Herbs
