Rank,Sweet,Category
1,Cinnamon,Spices
2,Vanilla,Herbs
3,Cream,Dairy
4,Creme fraiche,Dairy
5,Ginger,Herbs
6,Lemon,Fruits
7,Nutmeg,Spices
8,Pecan,Nut
