Rank,Savory,Category
1,Dark chocolate,Other
2,Hazelnut,Nut
3,Baileys,Alcohol
4,Buttermilk,Dairy
5,Date,Fruits
6,Honey,Sugars
7,Nougat,Other
8,Raspberry,Berries
9,Sourdough,Other
10,White chocolate,Other
