Rank,Cocktail,Category,Sweet,Category
1,Lime,Fruits,Raspberry,Berries
2,Gin,Alcohol,,
3,Celery,Vegetables,,
4,Cucumber,Vegetables,,
5,Mint,Herbs,,
6,Passionfruit,Fruits,,
