Rank,Sweet,Category
1,Vanilla,Herbs
2,Mascarpone,Cheeses
3,Cocoa,Other
4,Coffee,Beverages
5,Cognac,Alcohol
6,Dark chocolate,Other
7,Lemon,Fruits
8,Marsala,Alcohol
9,Mint,Herbs
10,Pistachio,Nut
11,Rhubarb,Fruits
12,Sea buckthorn,Berries
13,White chocolate,Other
