Rank,Cocktail,Category,Sweet,Category
1,Cinnamon,Spices,Vanilla,Herbs
2,Cloves,Spices,Cinnamon,Spices
3,Dark rum,Alcohol,Dark chocolate,Other
4,Nutmeg,Spices,Almond,Nut
5,Vanilla,Herbs,Apple,Fruits
6,,,Beer,Alcohol
7,,,Buttermilk,Dairy
8,,,Cardamom,Spices
9,,,Cocoa,Other
10,,,Coffee,Beverages
11,,,Cream cheese,Cheeses
12,,,Ginger,Herbs
13,,,Honey,Sugars
14,,,Lemon,Fruits
15,,,Licorice,Candy
16,,,Marshmallow,Candy
17,,,Orange,Fruits
18,,,Raspberry,Berries
